"scenario","total_nodes","truck_count","status","status_code","objective","gap","runtime_sec","num_vars","num_constrs"
"suite_v2_n5_i1_t1","5","1","OPTIMAL","2","667.2589999999991","3.729401270732146e-05","0.004999876022338867","115","522"
"suite_v2_n5_i2_t1","5","1","OPTIMAL","2","691.7219642857091","2.580465154201523e-05","0.0","144","719"
"suite_v2_n10_i1_t1","10","1","OPTIMAL","2","1106.0915516096402","0.0","0.1830000877380371","697","4343"
"suite_v2_n10_i2_t2","10","2","OPTIMAL","2","1361.0258928571277","0.0","0.09500002861022949","820","4661"
"suite_v2_n15_i1_t1","15","1","OPTIMAL","2","1182.0015962897394","0.0","0.7300000190734863","1385","8572"
"suite_v2_n15_i2_t2","15","2","OPTIMAL","2","2020.720596509833","0.0","1.5390000343322754","1819","9502"
"suite_v2_n20_i1_t1","20","1","OPTIMAL","2","1355.5879999999088","0.0","1.188000202178955","2190","13083"
"suite_v2_n20_i2_t2","20","2","OPTIMAL","2","2099.4672476380383","8.04607611136225e-05","21.478999853134155","5058","33964"
"suite_v2_n25_i1_t2","25","2","OPTIMAL","2","2681.346449919979","0.0","17.793999910354614","5807","36331"
"suite_v2_n25_i2_t3","25","3","OPTIMAL","2","2752.597008009477","1.0779197669060451e-05","747.1070001125336","14769","104738"
"suite_v2_n30_i1_t2","30","2","OPTIMAL","2","2647.802730082426","4.1905823404314984e-13","6.228000164031982","8382","50287"
"suite_v2_n30_i2_t3","30","3","OPTIMAL","2","3227.6250768651225","0.0","255.97699999809265","12250","73900"
"suite_v2_n35_i1_t2","35","2","OPTIMAL","2","2665.5554807692142","0.0","59.18300008773804","26504","203110"
"suite_v2_n35_i2_t3","35","3","TIME_LIMIT","9","3817.043002161384","0.00955825857230723","1800.5550000667572","17872","111361"
"suite_v2_n40_i1_t3","40","3","OPTIMAL","2","3610.3857831999153","0.0","1373.4110000133514","28988","193685"
"suite_v2_n40_i2_t4","40","4","TIME_LIMIT","9","4538.767975337388","0.015863924272420657","1800.5889999866486","41468","276296"
"suite_v2_n45_i1_t3","45","3","TIME_LIMIT","9","3797.764528745038","0.008701976339328253","1800.7290000915527","43851","306142"
"suite_v2_n45_i2_t4","45","4","TIME_LIMIT","9","4822.584225492832","0.013214102225853801","1800.6570000648499","54386","373034"
"suite_v2_n50_i1_t3","50","3","TIME_LIMIT","9","3956.914404073416","0.007941451851367048","1802.0490000247955","78015","584501"
"suite_v2_n50_i2_t4","50","4","TIME_LIMIT","9","4614.264396840545","0.03792444823579731","1801.3199999332428","107273","813891"
"rvct_final25_n10_t1","10","1","OPTIMAL","2","1006.0455656212628","0.0","0.06299996376037598","357","1693"
"rvct_final25_n20_t2","20","2","OPTIMAL","2","1152.5741071430978","0.0","0.5160000324249268","2586","13301"
"rvct_final25_n30_t2","30","2","OPTIMAL","2","1507.9829464286026","0.0","1.065000057220459","5071","24217"
"rvct_final25_n40_t3","40","3","OPTIMAL","2","1667.6184821429317","0.0","4.052999973297119","13722","66828"
"rvct_final25_n50_t4","50","4","OPTIMAL","2","1075.1375000236249","7.450843372197739e-05","1.2319998741149902","37970","221917"
